countNN	distanceNN	percentNN	datasetkey
78	0.18	0.5379	475e54bc-0168-4309-890a-1330f9ca1fc5
39	0.09	0.975	4769b578-3ec1-4f45-9090-ea9b2422e3db
211	1	0.8866	478e52db-0450-47f0-a763-ad3bcdaba6d9
87	0.09	0.5878	47c11f62-1b68-404a-8bba-2e85d3404906
356	0.18	0.7463	47f5955a-0543-4fd6-bf29-b359bed9ab54
31	0.09	0.7949	4809099f-17c1-4f0e-9831-f9a793a59b7c
702	0.08	0.9335	488416a3-50f1-43a0-a1ce-daf1cdbf84dd
88	0.09	0.5432	48939578-9f0f-4a2c-b9d5-e78252fd22ed
840	0.18	0.8375	48b7e704-9098-41ed-9f71-33a1b5267cc4
112	0.09	0.7887	492b7f54-a7b7-4231-b88e-049f1821c172
42	0.09	0.4242	4a0eadd4-ce7e-40e9-9b51-231ea9a22e56
74	0.18	0.5362	4a1bd1bd-52a0-45db-8830-958ac4df35a5
810	0.09	0.903	4d39e987-1e6a-4e78-ad5f-39a8c8846ebf
43	0.09	0.7818	4d9e1a03-26a9-44da-b207-92cba0881881
39	0.09	0.7647	4da1a6d5-48c0-42f8-af2c-01d0f5af8826
109	0.18	0.5046	4dce1bb0-9425-4e21-b6ec-27d62c63a025
140	0.09	0.473	4e0ae4ef-4f11-4cfe-9f3a-3c8a2465d205
218	0.09	0.5767	4e19e2b8-9934-4b5a-a51f-62df5a9802e7
797	0.18	0.8381	4e5b7609-ecdb-4963-9172-9065f63424f7
366	0.09	0.9657	4ebe5835-851f-43fd-beed-afade357bfc7
64	0.09	0.8205	4ef9544b-2b9c-49ae-9c82-195d2866ca01
103	0.09	0.4661	4f0a9cb0-0079-4b22-b1fe-359b7e71a36a
360	0.09	0.9474	4f19d152-735f-4286-9c6d-650404dbd18c
373	0.18	0.6907	4f1dc07c-b86a-4626-ab8a-dd9264dde7ae
599	0.18	0.7861	4f211020-9e97-4eed-b575-ce554fb109ad
855	0.18	0.8333	4f7dd3b2-5d9c-4189-8c5a-977b8726e052
852	0.18	0.8427	4f83f880-4fe1-48ce-84a5-32c30948e111
