datasetKey	publishingCountry	occCount	datasetTitle	percentNN	distanceNN	countNN	uniqueLatLon	lastUpdated	numberSampled
0375fd40-83ee-439a-8ad9-62375d769ac9	FR	726	Données naturalistes de Jean-Michel BICHAIN	0.514792899408284	0.09	87	169	2018-09-13	1000
038b6cf8-4c53-4bf3-961e-9fe6c57b813e	US	15302	CHAS Malacology Collection (Arctos)	0.132743362831858	0.02	30	317	2018-09-13	1000
03929cfc-82e3-4f21-97e3-7be4de285584	BR	5953	SPFw - Xiloteca do Instituto de Biociências da Universidade de São Paulo	0.135416666666667	0.02	13	646	2018-09-13	1000
039ece6c-1e6d-4441-8392-43ab8bb29c47	GB	7863	Ad-hoc Bat Records from Across Wales	0.344086021505376	0.1	32	97	2018-09-13	1000
03a84058-3571-46c8-837f-efd412152734	CO	475	Equinodermos de la Colección de Referencia de Biología Marina de la Universidad del Valle (CRBMeq-UV)	0.25	0.02	7	51	2018-09-13	1000
03ce64e0-7906-465f-afa8-1bfb6597aeaa	AU	60510	QLD DERM Coastal Bird Atlas (Trial)	0.166666666666667	0.02	41	328	2018-09-13	1000
03da4c68-c923-4ff0-9529-77889e0a1ffe	FR	5850	Compilation des données "Lagomorphes" et "Ongulés" en Lorraine	0.898203592814371	0.09	150	167	2018-09-13	1000
03e5566b-7802-45cc-a1be-bac840e2a133	NZ	4092	Ross Sea Biodiversity Survey 2004 (BioRoss)	0.529411764705882	0.02	27	164	2018-09-13	1000
03e65043-bb3d-4234-9a9c-ec13da707d9a	GB	8332	Scotland Otter Survey Database	0.194845360824742	0.04	189	1000	2018-09-13	1000
03f2256a-e548-43d7-a731-253302f4aa34	NL	318735	Naturalis Biodiversity Center (NL) - Hymenoptera	0.092436974789916	0.03	22	275	2018-09-13	1000
0409a304-cc5d-4af6-b509-5b6667905117	AR	28385	Plan de vertebrados de la Patagonia	0.251207729468599	0.02	52	377	2018-09-13	1000
040c5662-da76-4782-a48e-cdea1892d14c	GB	2789906	International Barcode of Life project (iBOL)	0.0875	0.02	7	124	2018-09-13	1000
040d0116-7d19-45bc-8fe5-3f24b5965748	FR	58458	Oiseaux nicheurs de France métropolitaine 1970-1975 - nidification certaine	0.581548599670511	0.18	353	607	2018-09-13	1000
04106094-0ced-419a-8216-17efdae78b90	AU	256	Cactophilic Drosophila and Opuntia	0.0888888888888889	0.02	8	96	2018-09-13	1000
04234973-a68a-4c56-a786-c6c7da0efe21	GB	31	Spotted crake national survey in the UK in 1999	0.103448275862069	1.14	3	29	2018-09-13	1000
042e5744-80f1-41ef-8e4f-02ce69d86a42	FI	709018	Finnish monitoring scheme of birds and mammals visiting bird feeders during winter	0.132075471698113	0.25	7	53	2018-09-13	1000
043e4354-97ef-4da4-a90f-bbe38b7d0e9c	DE	79	Complete list of isolated phyllosphere Methylobacterium strains	0.3125	0.04	5	21	2018-09-13	1000
045d64f1-29e5-4b8e-a0e7-8d7bd6b4d1db	GB	41887	Aquatic Heteroptera Dataset	0.136842105263158	0.03	13	241	2018-09-13	1000
0471f28e-b58b-4c02-89e4-d2a1d621a9d8	AU	132035	IMOS - AATAMS Facility Satellite Relay Tagging Program - Delayed mode data	0.101391650099404	0.03	51	767	2018-09-13	1000
047e1bb6-38a3-4d86-a1e3-c9b691805155	CO	18541	Coleccion de Ictiología del Instituto de Ciencias Naturales (ICN-MHN-Ic)	0.175	0.02	14	112	2018-09-13	1000
04883d31-9c89-4f63-b9f6-578b775c55cc	GB	7779	SEWBReC Hemiptera - True Bugs (South East Wales)	0.86046511627907	0.09	37	43	2018-09-13	1000
04a041d6-bfa9-4efd-97f4-3a016e973f37	GB	16580	Lichens:  Records for Kent.	0.402985074626866	0.03	27	67	2018-09-13	1000
04b949ba-e65a-427c-acce-8a5df15605e8	ES	284	Banco de Germoplasma Vegetal del Jardín Botánico de Olarizu (Vitoria-Gasteiz)/Olarizuko Lorategi Botanikoaren Landare Germoplasma Bankua (Vitoria-Gasteiz)	0.333333333333333	0.02	11	63	2018-09-13	1000
04bcbc07-811a-4870-89ec-4055fa88ea8d	JP	3000	Insect Specimens of Ibaraki University (Faculty of Science)	0.210526315789474	0.07	4	26	2018-09-13	1000
04bfc6da-0b01-4b89-9e8c-21fd2cc7ab9f	GB	3422	Highland Breeding Bird Data 2002-2003 - non-sensitive breeding species	0.341463414634146	0.02	98	337	2018-09-13	1000
04c4143f-1b12-44c1-a81d-1ef5fb3ea175	GB	457	European Pear Rust (<i>Gymnosporangium sabinae</i>) monitoring	0.266881028938907	0.02	83	412	2018-09-13	1000
04c42f78-51bd-4d70-8cbf-ef16964d2f34	ES	2707	Colección de Coleoptera (Scarabaeoidea) del sureste de la Península Ibérica de la Universidad de Granada	0.233333333333333	0.02	7	54	2018-09-13	1000
04e0550a-e142-4658-9575-3e46fb6675b7	GB	1590	Survey of distribution of beavers in Tayside in 2012	0.375	0.03	6	570	2018-09-13	1000
04f222a1-3d53-4740-80d3-40d3b7ccbe9e	GB	1462	Dixidae (Diptera) records from Britain and Ireland to 1988	0.161290322580645	0.02	70	606	2018-09-13	1000
053cc2c4-c0c9-4024-8cdb-9f45b93700bf	GB	111	Nezara viridula records held by the Royal Horticultural Society	0.39622641509434	0.02	21	67	2018-09-13	1000
05a46222-b9ff-4162-a0e1-08bfcc5c6584	GB	103317	Wicken Fen nature reserve species data held by The National Trust	0.75	0.02	3	49	2018-09-13	1000
05b90d06-58a6-477a-bade-046a5a5b1887	MX	2477	Base de datos de la Colección zoológica del Instituto de Investigación de zonas desérticas de la Universidad Autónoma de San Luis Potosí (BDCZIID-UASLP)	0.102040816326531	0.03	15	155	2018-09-13	1000
05bf3655-ef2e-46ba-8732-60517beb3567	CA	1650	University of Calgary Herbarium	0.141337386018237	0.02	93	839	2018-09-13	1000
05c7a097-a70b-4a6f-abaa-02bc58d980f0	MX	2029	Biodiversidad asociada a mantos de rodolitos y praderas de pastos marinos en Bahía Concepción, BCS	0.571428571428571	0.02	4	36	2018-09-13	1000
05d46db0-71db-42c0-b5cb-b81120093f1d	ES	3509	Entocytheridae (Ostracoda) World Database	0.0587529976019185	0.05	49	875	2018-09-13	1000
05d6ca91-1c63-429e-8801-3b59e2de2707	GB	64004	Environment Agency England and Wales (2007) freshwater invertebrate species (single species families)	0.123613312202853	0.03	78	769	2018-09-13	1000
0628cc70-37e0-4353-949d-e3990bc2a341	VE	588	Benthic amphipods from Alacranes Reef, Campeche Bank, Mexico	0.444444444444444	0.03	4	53	2018-09-13	1000
0645ccdb-e001-4ab0-9729-51f1755e007e	AU	9242537	OEH Atlas of NSW Wildlife	0.166666666666667	0.02	16	552	2018-09-13	1000
06a00852-f764-4fb8-80d4-ca51f0918459	US	42634	UMNH Mammals Collection (Arctos)	0.222222222222222	0.02	8	84	2018-09-13	1000
06c2da70-2196-4a80-ae2c-436243645ced	MX	5098	Atlas de los coleóptera Scarabaeoidea de México. Segunda parte	0.0824742268041237	0.02	16	206	2018-09-13	1000
06d3504c-a3bb-11e2-95b8-00145eb45e9a	AT	99300	Landesmuseum Kärnten	0.25	0.03	3	48	2018-09-13	1000
06e71d9d-52b6-4ac1-b51a-e5833f967ead	US	115	USGS SESC - Virgin Islands - Herpetofauna - 2001-2002	1	0.02	2	30	2018-09-13	1000
06e9b0e7-a112-4448-9eba-896a9bc69f07	GB	16505	Mollusc (non-marine): Compilation of records of rare and scarce species for Great Britain and Northern Ireland	0.142414860681115	0.02	92	882	2018-09-13	1000
06f26623-7c8f-4a9c-9727-f40846ae7e62	GB	107	Crested tit wintering survey in the UK, 1992-1995	0.566037735849057	0.02	30	53	2018-09-13	1000
06f61e4a-9ca0-47e3-8e9b-8f953274d26f	NC	5360	SPC PROCFish/C Fish Observations Kiribati 2004	0.692307692307692	0.02	9	48	2018-09-13	1000
07044577-bd82-4089-9f3a-f4a9d2170b2e	CO	3403810	A global database for the distributions of crop wild relatives	0.0819047619047619	0.03	43	743	2018-09-13	1000
073938a7-50e8-446e-8884-035b0639982c	MG	1014	Database on reference specimens for medicinal plants of the Euphorbiaceae family, conserved at the CNARP herbarium	0.115183246073298	0.05	22	425	2018-09-13	1000
073e7dab-1c66-4e6c-a75e-dfeee6851290	JP	3000	Plant specimens of Ishikawa Museum of Natural History	0.666666666666667	0.02	6	65	2018-09-13	1000
0778013c-906f-4746-835e-586d1ec5243d	FR	51110	Inventaire National du Patrimoine Naturel : Insectes Orthoptères de France	0.45	0.09	297	660	2018-09-13	1000
0797c245-3f7f-42db-b822-550a36b2a922	FR	41310	Suivi Photographique des Insectes Pollinisateurs (SPIPOLL)	0.358208955223881	0.09	48	134	2018-09-13	1000
07d54123-75b8-4660-9482-e4c665e6f069	IE	1104	Mid Ulster Hare Surveys 2012-2015	0.4	0.02	16	360	2018-09-13	1000
